,STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,bad_conditions,rating
140,USW00014765,2005-05-21,51.0,43,58,13.2,25.9,,,,,,,,,,,,,,,,,,,,,0,good
141,USW00014765,2005-05-22,53.0,46,59,7.38,19.9,,,,,,,,,,,,,1.0,,1.0,,,,,,2,bad
142,USW00014765,2005-05-23,51.0,45,57,8.05,21.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
143,USW00014765,2005-05-24,48.0,45,50,15.88,28.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
144,USW00014765,2005-05-25,46.0,44,48,24.16,33.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
145,USW00014765,2005-05-26,51.0,46,56,14.54,29.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
146,USW00014765,2005-05-27,58.0,51,65,7.61,16.1,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,5,worse
147,USW00014765,2005-05-28,65.0,53,77,8.5,21.0,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
148,USW00014765,2005-05-29,65.0,54,75,5.59,15.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,4,bad
149,USW00014765,2005-05-30,64.0,52,76,6.49,25.1,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
150,USW00014765,2005-05-31,59.0,50,68,8.05,15.0,,,,,,,,,,,,,,,,,,,,,0,good
151,USW00014765,2005-06-01,60.0,51,69,7.83,17.0,,,,,,,,,,,,,,,,,,,,,0,good
152,USW00014765,2005-06-02,57.0,50,64,9.62,21.0,,,,,,,,,,,,,,,,,,,,,0,good
153,USW00014765,2005-06-03,64.0,53,75,7.83,19.9,,,,,,,,,,,,,,,,,,,,,0,good
154,USW00014765,2005-06-04,69.0,58,80,3.8,13.0,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
155,USW00014765,2005-06-05,74.0,59,88,5.37,15.0,,,,,,,,1.0,,,,,,,,,,,,,1,bad
156,USW00014765,2005-06-06,65.0,58,72,9.4,17.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,3,bad
157,USW00014765,2005-06-07,74.0,62,86,10.74,23.9,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
158,USW00014765,2005-06-08,75.0,62,87,6.71,17.0,,,,,,,,,,,,,,,1.0,,,,,,1,bad
159,USW00014765,2005-06-09,77.0,66,87,8.05,17.9,,,,,,,,1.0,,,,,,,,,,,,,1,bad
160,USW00014765,2005-06-10,74.0,67,80,10.51,21.0,,,,,,,,,,,,,,,,,,,,,0,good
161,USW00014765,2005-06-11,77.0,67,87,9.62,17.0,,,,,,,,,,,,,,,,,,,,,0,good
162,USW00014765,2005-06-12,78.0,67,88,8.05,15.0,,,,,,,,1.0,,,,,,,1.0,,,,,,2,bad
163,USW00014765,2005-06-13,83.0,73,92,8.5,17.0,,,,,,,,1.0,,,,,,,1.0,,,,,,2,bad
164,USW00014765,2005-06-14,75.0,56,93,7.61,29.1,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,4,bad
165,USW00014765,2005-06-15,55.0,51,59,10.51,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
166,USW00014765,2005-06-16,59.0,51,67,5.59,14.1,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,5,worse
167,USW00014765,2005-06-17,66.0,55,76,6.93,17.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
168,USW00014765,2005-06-18,62.0,53,70,5.82,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
169,USW00014765,2005-06-19,60.0,53,67,8.95,17.9,,,,,,,,,,,,,,,,,,,,,0,good
170,USW00014765,2005-06-20,61.0,49,73,7.16,17.9,,,,,,,,,,,,,,,,,,,,,0,good
171,USW00014765,2005-06-21,67.0,52,82,9.17,17.9,,,,,,,,,,,,,,,,,,,,,0,good
172,USW00014765,2005-06-22,68.0,60,76,7.83,21.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,4,bad
173,USW00014765,2005-06-23,66.0,55,76,8.95,16.1,,,,,,,,,,,,,,,,,,,,,0,good
174,USW00014765,2005-06-24,70.0,55,85,9.84,19.9,,,,,,,,,,,,,,,,,,,,,0,good
175,USW00014765,2005-06-25,80.0,66,93,10.74,17.9,,,,,,,,,,,,,,,,,,,,,0,good
176,USW00014765,2005-06-26,82.0,70,94,7.38,16.1,,,,,,,,1.0,,,,,,,,,,,,,1,bad
177,USW00014765,2005-06-27,75.0,68,82,8.72,19.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
178,USW00014765,2005-06-28,73.0,68,78,7.38,15.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,6,worse
179,USW00014765,2005-06-29,80.0,70,90,9.62,23.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
180,USW00014765,2005-06-30,71.0,67,75,6.71,14.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
181,USW00014765,2005-07-01,73.0,67,79,4.7,13.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
182,USW00014765,2005-07-02,74.0,66,82,8.95,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
183,USW00014765,2005-07-03,70.0,59,81,7.61,15.0,,,,,,,,,,,,,,,,,,,,,0,good
